resource_code,name,type,category,unit,base_price,min_price,max_price,currency
INS-PE-HERRAMIENTAS,Herramientas,equipment,EQUIPO,und,5,,,PEN
INS-PE-ARENA_GRUESA,Arena gruesa,material,MATERIALES,m3,1,,,PEN
INS-PE-CAPATAZ,Capataz,labor,MANO DE OBRA,hh,1,,,PEN
INS-PE-OPERARIO,Operario,labor,MANO DE OBRA,hh,1,,,PEN
INS-PE-OFICIAL,Oficial,labor,MANO DE OBRA,hh,1,,,PEN
INS-PE-PEÓN,Peón,labor,MANO DE OBRA,hh,1,,,PEN
INS-PE-MEZCLADORA_DE_9-11_P3,Mezcladora de 9-11 p3,equipment,EQUIPO,hm,1,,,PEN
"INS-PE-CLAVOS_2_1-2""","Clavos 2 1/2""",material,MATERIALES,kg,1,,,PEN
INS-PE-ADITIVO_DESMOLDANTE,Aditivo Desmoldante,material,MATERIALES,gal,1,,,PEN
INS-PE-MADERA_TORNILLO,Madera Tornillo,material,MATERIALES,p2,1,,,PEN
INS-PE-PINTURA_ESMALTE_SINTÉTICO,Pintura Esmalte Sintético,material,MATERIALES,gal,1,,,PEN
INS-PE-TOPÓGRAFO,Topógrafo,labor,MANO DE OBRA,hh,1,,,PEN
INS-PE-RETROEXCAVADORA_DE_1-2_A_,Retroexcavadora de 1/2 a 1 1/4  yd3,equipment,EQUIPO,hm,1,,,PEN
INS-PE-COMPACTADOR_VIBRATORIO_TI,"Compactador Vibratorio Tipo Plancha 5.8 HP, 145 kg",equipment,EQUIPO,hm,1,,,PEN
INS-PE-TEODOLITO,Teodolito,equipment,EQUIPO,hm,1,,,PEN
INS-PE-WINCHA_DE_LONA_DE_30_MTS.,Wincha de lona de 30 mts.,equipment,EQUIPO,und,1,,,PEN
INS-PE-REGLA_PARA_ACABADO_DE_FAL,"Regla para acabado de falso piso/piso 2""x4""x12'",material,MATERIALES,p2,1,,,PEN
INS-PE-OPERADOR_DE_EQUIPO_LIVIAN,Operador de equipo liviano,labor,MANO DE OBRA,hh,1,,,PEN
INS-PE-CEMENTO_PORTLAND_TIPO_I_(,Cemento Portland Tipo I (42.5 Kg),material,MATERIALES,bls,1,,,PEN
INS-PE-ARENA_FINA,Arena fina,material,MATERIALES,m3,1,,,PEN
"INS-PE-PIEDRA_CHANCADA_1-2""","Piedra chancada 1/2""",material,MATERIALES,m3,1,,,PEN
"INS-PE-PIEDRA_CHANCADA_3-4""","Piedra chancada 3/4""",material,MATERIALES,m3,1,,,PEN
INS-PE-PIEDRA_MEDIANA_DE_CANTERA,Piedra mediana de cantera o de río,material,MATERIALES,m3,1,,,PEN
INS-PE-HORMIGÓN,Hormigón,material,MATERIALES,m3,1,,,PEN
"INS-PE-CLAVOS_DE_3""","Clavos de 3""",material,MATERIALES,kg,1,,,PEN
INS-PE-ALAMBRE_NEGRO_N°_8,Alambre negro N° 8,material,MATERIALES,kg,1,,,PEN
"INS-PE-CLAVOS_3_1-2""","Clavos 3 1/2""",material,MATERIALES,kg,1,,,PEN
"INS-PE-CLAVOS_DE_4""","Clavos de 4""",material,MATERIALES,kg,1,,,PEN
INS-PE-TRIPLAY_LUPUNA_4'X_8'_X_1,Triplay lupuna 4'x 8' x 19mm,material,MATERIALES,und,1,,,PEN
"INS-PE-PERNOS_DE_1-2""","Pernos de 1/2""",material,MATERIALES,und,1,,,PEN
"INS-PE-TUBO_PVC_3-4""","Tubo PVC 3/4""",material,MATERIALES,m,1,,,PEN
INS-PE-ALAMBRE_NEGRO_N°_16,Alambre negro N° 16,material,MATERIALES,kg,1,,,PEN
INS-PE-VIBRADOR_DE_4_HP,Vibrador de 4 HP,equipment,EQUIPO,hm,1,,,PEN
INS-PE-PASES_DE_MADERA,Pases de madera,material,MATERIALES,p2,1,,,PEN
INS-PE-WINCHE_ELÉCTRICO,Winche eléctrico,equipment,EQUIPO,hm,1,,,PEN
"INS-PE-FIERRO_CORRUGADO_Ø_5-8""(P","Fierro corrugado Ø 5/8""(promedio)",material,MATERIALES,kg,1,,,PEN
INS-PE-CIZALLA,Cizalla,equipment,EQUIPO,hm,1,,,PEN
INS-PE-CONCRETO_PREMEZCLADO_F'C_,Concreto premezclado f'c variable,material,MATERIALES,m3,1,,,PEN
