resource_code,name,type,category,unit,price_avg,price_min,price_max,currency,usage_count,parent_category,parent_collection,parent_department,parent_section
INS-PE-MAYÓLICA_15_X_15_DE_1RA.,Mayólica 15 x 15 de 1ra.,material,MATERIALES,m2,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-MAYÓLICA_11_X_11_DE_1RA.,Mayólica 11 x 11 de 1ra.,material,MATERIALES,m2,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-LADRILLO_PASTELERO_24_X_2,Ladrillo pastelero 24 x 24cm,material,MATERIALES,pza,1.50,1.20,1.80,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-TIERRA_DE_CHACRA,Tierra de chacra,material,MATERIALES,m3,25.00,20.00,32.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-COLA_SINTÉTICA,Cola sintética,material,MATERIALES,gal,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PINTURA_IMPRIMANTE_BLANCA,Pintura imprimante blanca,material,MATERIALES,gal,38.00,30.00,48.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PINTURA_LATEX_INTERIORES,Pintura latex interiores,material,MATERIALES,gal,35.00,28.00,45.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PINTURA_BARNÍZ,Pintura barníz,material,MATERIALES,gal,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PINTURA_IMPRIMANTE_INCOLO,Pintura imprimante incolora,material,MATERIALES,gal,32.00,25.00,42.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-MEZCLADORA_18_HP,11-12_P3","Mezcladora 18 HP,11-12 p3, 1,500 kg",equipment,EQUIPO,hm,45.00,38.00,55.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-THINNER,Thinner,material,MATERIALES,gal,18.00,15.00,24.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-ANDAMIO_METÁLICO,Andamio metálico,equipment,EQUIPO,und,1,,,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
"INS-PE-BROCHA_PLANA_DE_1.5""","Brocha plana de 1.5""",material,MATERIALES,und,8.00,6.00,12.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-OPERADOR_DE_EQUIPO_PESADO,Operador de equipo pesado,labor,MANO DE OBRA,hh,35.00,30.00,42.00,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
INS-PE-MADERA_CEDRO,Madera cedro,material,MATERIALES,und,6.00,5.00,7.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-REGLA_DE_MADERA_DE_2""_X_4","Regla de madera de 2"" x 4"" x 4'",material,MATERIALES,und,4.50,3.50,6.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-TIZA_(30_KG),Tiza (30 Kg),material,MATERIALES,kg,12.00,10.00,15.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-IMPRIMANTE_TEMPLE,Imprimante temple,material,MATERIALES,kg,4.50,3.50,6.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-LIJA_PARA_METAL,Lija para metal,material,MATERIALES,und,2.50,1.80,3.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PINTURA_IMPRIMANTE_BLANCA,Pintura imprimante blanca 50 kg,material,MATERIALES,bls,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-CLAVOS_CON_CABEZA_PROMEDI,Clavos con cabeza promedio,material,MATERIALES,kg,6.80,5.80,8.20,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-REGLA_DE_MADERA,Regla de madera,material,MATERIALES,und,4.00,3.00,5.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-MADERA_PARA_REGLAS_(CEDRO,Madera para Reglas (Cedro),material,MATERIALES,und,6.00,5.00,7.50,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-ANDAMIO_METÁLICO,Andamio Metálico,equipment,EQUIPO,hm,1,,,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-TEROKAL,Terokal,material,MATERIALES,gal,22.00,18.00,28.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-FORMICA_C-ENCHAPE_MELAMIN,Formica C/Enchape Melaminico,material,MATERIALES,m2,55.00,45.00,68.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-AGLOMERADO_MDF_(2.16_X_2.,Aglomerado MDF (2.16 x 2.60),material,MATERIALES,und,95.00,80.00,120.00,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-CEPILLADORA_ELÉCTRICA,Cepilladora Eléctrica,equipment,EQUIPO,hm,1,,,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-SIERRA_CIRCULAR,Sierra Circular,equipment,EQUIPO,hm,15.00,12.00,20.00,PEN,,EQUIPO,EQUIPO,PERU,CAPECO
INS-PE-MAYÓLICA_15_X_15CM,Mayólica 15 x 15cm,material,MATERIALES,und,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PISÓN_DE_MANO,Pisón de mano,material,MATERIALES,und,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
"INS-PE-FILTROS,_LUBRICANTES","Filtros, lubricantes",material,MATERIALES,und,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-SOLDADURA_(%_DE_ACERO),Soldadura (% de acero),material,MATERIALES,und,1,,,PEN,,MATERIALES,MATERIALES,PERU,CAPECO
INS-PE-PEÓN,Peón,labor,MANO DE OBRA,und,1,,,PEN,,MANO DE OBRA,MANO DE OBRA,PERU,CAPECO
